             Hugoniot for material id: 182
             Zbar =  2.60000E+01 Abar =  5.58470E+01 Rho =  7.96900E+00

      Rho         Pres         Enrgy        Temp          Up           Us
  3.40663E+01  6.57554E+14  3.16079E+13  9.57327E-02  7.95046E+06  1.03782E+07
  3.44069E+01  7.45975E+14  3.59664E+13  1.05676E-01  8.48096E+06  1.10373E+07
  3.47510E+01  8.41762E+14  4.07055E+13  1.16207E-01  9.02247E+06  1.17071E+07
  3.50985E+01  9.35470E+14  4.53701E+13  1.25951E-01  9.52544E+06  1.23234E+07
  3.54495E+01  1.03332E+15  5.02611E+13  1.35650E-01  1.00258E+07  1.29331E+07
  3.58040E+01  1.13900E+15  5.55604E+13  1.45756E-01  1.05411E+07  1.35590E+07
  3.61620E+01  1.25575E+15  6.14290E+13  1.56612E-01  1.10839E+07  1.42168E+07
  3.65236E+01  1.38720E+15  6.80489E+13  1.68566E-01  1.16658E+07  1.49215E+07
  3.68889E+01  1.53795E+15  7.56519E+13  1.82031E-01  1.23003E+07  1.56897E+07
  3.72578E+01  1.71427E+15  8.45553E+13  1.97553E-01  1.30040E+07  1.65422E+07
  3.76303E+01  1.90768E+15  9.43485E+13  2.13254E-01  1.37365E+07  1.74270E+07
  3.80066E+01  2.09787E+15  1.04030E+14  2.27025E-01  1.44241E+07  1.82508E+07
  3.83867E+01  2.29691E+15  1.14200E+14  2.40942E-01  1.51127E+07  1.90720E+07
  3.87706E+01  2.51414E+15  1.25324E+14  2.55911E-01  1.58316E+07  1.99276E+07
  3.91583E+01  2.75992E+15  1.37928E+14  2.72718E-01  1.66087E+07  2.08523E+07
  3.95499E+01  3.05067E+15  1.52843E+14  2.92495E-01  1.74837E+07  2.18955E+07
  3.99454E+01  3.41890E+15  1.71720E+14  3.17419E-01  1.85320E+07  2.31504E+07
  4.03448E+01  3.95954E+15  1.99365E+14  3.53775E-01  1.99681E+07  2.48830E+07
  4.07483E+01  5.32230E+15  2.68633E+14  4.42591E-01  2.31789E+07  2.88139E+07
